station,date,prcp,tobs,name,latitude,longitude,elevation
USC00519397,8/8/17,0,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/8/17,0.1,78,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/8/17,0,82,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00516128,8/8/17,0.34,74,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/7/17,0,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/7/17,0,81,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/7/17,0,83,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00516128,8/7/17,0.05,78,"MANOA LYON ARBO 785.2, HI US",21.3331,-157.8025,152.4
USC00519397,8/6/17,0,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/6/17,0,82,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/6/17,0,83,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/6/17,0,83,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00519397,8/5/17,0,81,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00519281,8/5/17,0.06,82,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00519397,8/4/17,0.02,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/4/17,0.04,81,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
USC00519523,8/4/17,0,82,"WAIMANALO EXPERIMENTAL FARM, HI US",21.33556,-157.71139,19.5
USC00519281,8/4/17,0,77,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9
USC00519397,8/3/17,0,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3
USC00514830,8/3/17,0.01,81,"KUALOA RANCH HEADQUARTERS 886.9, HI US",21.5213,-157.8374,7
