Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
-0.3134,Sat Dec 09 23:58:31 +0000 2017,0.094,0.906,0,68,@bbc
0.079,Sat Dec 09 23:57:30 +0000 2017,0.159,0.663,0.179,69,@bbc
0.3182,Sat Dec 09 23:57:15 +0000 2017,0,0.685,0.315,70,@bbc
0.875,Sat Dec 09 23:56:45 +0000 2017,0,0.607,0.393,71,@bbc
0.5743,Sat Dec 09 23:56:29 +0000 2017,0,0.843,0.157,72,@bbc
0.875,Sat Dec 09 23:56:14 +0000 2017,0,0.607,0.393,73,@bbc
0.875,Sat Dec 09 23:56:12 +0000 2017,0,0.607,0.393,74,@bbc
0.5943,Sat Dec 09 23:55:57 +0000 2017,0,0.787,0.213,75,@bbc
0,Sat Dec 09 23:55:24 +0000 2017,0,1,0,76,@bbc
0,Sat Dec 09 23:54:19 +0000 2017,0,1,0,77,@bbc
0.875,Sat Dec 09 23:53:56 +0000 2017,0,0.607,0.393,78,@bbc
0,Sat Dec 09 23:53:44 +0000 2017,0,1,0,79,@bbc
0.5743,Sat Dec 09 23:53:26 +0000 2017,0,0.843,0.157,80,@bbc
-0.3134,Sat Dec 09 23:52:56 +0000 2017,0.094,0.906,0,81,@bbc
0,Sat Dec 09 23:52:50 +0000 2017,0,1,0,82,@bbc
0.5743,Sat Dec 09 23:52:32 +0000 2017,0,0.843,0.157,83,@bbc
0,Sat Dec 09 23:51:37 +0000 2017,0,1,0,84,@bbc
-0.3134,Sat Dec 09 23:51:21 +0000 2017,0.094,0.906,0,85,@bbc
-0.3134,Sat Dec 09 23:51:18 +0000 2017,0.094,0.906,0,86,@bbc
0,Sat Dec 09 23:51:06 +0000 2017,0,1,0,87,@bbc
0.5743,Sat Dec 09 23:50:02 +0000 2017,0,0.843,0.157,88,@bbc
0,Sat Dec 09 23:49:51 +0000 2017,0,1,0,89,@bbc
0.264,Sat Dec 09 23:49:40 +0000 2017,0.108,0.733,0.159,90,@bbc
-0.3134,Sat Dec 09 23:49:28 +0000 2017,0.094,0.906,0,91,@bbc
0.7889,Sat Dec 09 23:49:11 +0000 2017,0,0.751,0.249,92,@bbc
0.3818,Sat Dec 09 23:49:07 +0000 2017,0,0.658,0.342,93,@bbc
-0.7351,Sat Dec 09 23:48:45 +0000 2017,0.383,0.617,0,94,@bbc
-0.296,Sat Dec 09 23:48:44 +0000 2017,0.18,0.82,0,95,@bbc
0.5743,Sat Dec 09 23:48:23 +0000 2017,0,0.843,0.157,96,@bbc
-0.8074,Sat Dec 09 23:46:52 +0000 2017,0.313,0.687,0,97,@bbc
0.7672,Sat Dec 09 23:46:29 +0000 2017,0,0.707,0.293,98,@bbc
-0.3134,Sat Dec 09 23:46:25 +0000 2017,0.094,0.906,0,99,@bbc
0.7672,Sat Dec 09 23:46:10 +0000 2017,0,0.707,0.293,100,@bbc
0.128,Sun Dec 10 00:10:46 +0000 2017,0.107,0.761,0.132,1,@CBSNews
0,Sun Dec 10 00:10:34 +0000 2017,0,1,0,2,@CBSNews
0,Sun Dec 10 00:10:31 +0000 2017,0,1,0,3,@CBSNews
0.6249,Sun Dec 10 00:10:28 +0000 2017,0,0.814,0.186,4,@CBSNews
0,Sun Dec 10 00:10:22 +0000 2017,0,1,0,5,@CBSNews
0,Sun Dec 10 00:10:21 +0000 2017,0,1,0,6,@CBSNews
0.1027,Sun Dec 10 00:10:14 +0000 2017,0.097,0.787,0.116,7,@CBSNews
0.4927,Sun Dec 10 00:10:11 +0000 2017,0,0.824,0.176,8,@CBSNews
0,Sun Dec 10 00:10:10 +0000 2017,0,1,0,9,@CBSNews
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,10,@CBSNews
-0.3182,Sun Dec 10 00:09:48 +0000 2017,0.272,0.544,0.184,11,@CBSNews
0,Sun Dec 10 00:09:45 +0000 2017,0,1,0,12,@CBSNews
0,Sun Dec 10 00:09:41 +0000 2017,0,1,0,13,@CBSNews
-0.3147,Sun Dec 10 00:09:20 +0000 2017,0.135,0.772,0.093,14,@CBSNews
0,Sun Dec 10 00:08:58 +0000 2017,0,1,0,15,@CBSNews
0,Sun Dec 10 00:08:51 +0000 2017,0,1,0,16,@CBSNews
0.4019,Sun Dec 10 00:08:51 +0000 2017,0,0.863,0.137,17,@CBSNews
-0.765,Sun Dec 10 00:08:47 +0000 2017,0.28,0.72,0,18,@CBSNews
-0.5897,Sun Dec 10 00:08:35 +0000 2017,0.18,0.82,0,19,@CBSNews
-0.2302,Sun Dec 10 00:08:34 +0000 2017,0.128,0.741,0.131,20,@CBSNews
0.5994,Sun Dec 10 00:08:30 +0000 2017,0.059,0.69,0.251,21,@CBSNews
0,Sun Dec 10 00:08:27 +0000 2017,0,1,0,22,@CBSNews
0.4199,Sun Dec 10 00:08:27 +0000 2017,0,0.866,0.134,23,@CBSNews
0,Sun Dec 10 00:08:24 +0000 2017,0,1,0,24,@CBSNews
0,Sun Dec 10 00:08:14 +0000 2017,0,1,0,25,@CBSNews
0.3612,Sun Dec 10 00:07:57 +0000 2017,0,0.898,0.102,26,@CBSNews
0,Sun Dec 10 00:07:55 +0000 2017,0,1,0,27,@CBSNews
0,Sun Dec 10 00:07:54 +0000 2017,0,1,0,28,@CBSNews
0.5994,Sun Dec 10 00:07:53 +0000 2017,0.059,0.69,0.251,29,@CBSNews
0,Sun Dec 10 00:07:53 +0000 2017,0,1,0,30,@CBSNews
0.4019,Sun Dec 10 00:07:52 +0000 2017,0,0.891,0.109,31,@CBSNews
0.6478,Sun Dec 10 00:07:48 +0000 2017,0,0.752,0.248,32,@CBSNews
0,Sun Dec 10 00:07:24 +0000 2017,0,1,0,33,@CBSNews
0,Sun Dec 10 00:07:16 +0000 2017,0,1,0,34,@CBSNews
0.4019,Sun Dec 10 00:07:04 +0000 2017,0,0.816,0.184,35,@CBSNews
0,Sun Dec 10 00:07:04 +0000 2017,0,1,0,36,@CBSNews
0,Sun Dec 10 00:06:54 +0000 2017,0,1,0,37,@CBSNews
0,Sun Dec 10 00:06:47 +0000 2017,0,1,0,38,@CBSNews
0,Sun Dec 10 00:06:40 +0000 2017,0,1,0,39,@CBSNews
0.128,Sun Dec 10 00:06:26 +0000 2017,0.107,0.761,0.132,40,@CBSNews
0,Sun Dec 10 00:06:18 +0000 2017,0,1,0,41,@CBSNews
-0.3612,Sun Dec 10 00:06:15 +0000 2017,0.122,0.878,0,42,@CBSNews
0,Sun Dec 10 00:06:15 +0000 2017,0,1,0,43,@CBSNews
0,Sun Dec 10 00:06:10 +0000 2017,0,1,0,44,@CBSNews
0,Sun Dec 10 00:06:02 +0000 2017,0,1,0,45,@CBSNews
-0.34,Sun Dec 10 00:05:57 +0000 2017,0.165,0.726,0.109,46,@CBSNews
0,Sun Dec 10 00:05:52 +0000 2017,0,1,0,47,@CBSNews
-0.34,Sun Dec 10 00:05:47 +0000 2017,0.215,0.581,0.203,48,@CBSNews
0.4019,Sun Dec 10 00:05:35 +0000 2017,0,0.87,0.13,49,@CBSNews
0,Sun Dec 10 00:05:27 +0000 2017,0,1,0,50,@CBSNews
0,Sun Dec 10 00:05:21 +0000 2017,0,1,0,51,@CBSNews
0.2755,Sun Dec 10 00:05:12 +0000 2017,0,0.883,0.117,52,@CBSNews
-0.34,Sun Dec 10 00:05:11 +0000 2017,0.286,0.714,0,53,@CBSNews
0.3612,Sun Dec 10 00:05:08 +0000 2017,0,0.783,0.217,54,@CBSNews
0,Sun Dec 10 00:04:46 +0000 2017,0,1,0,55,@CBSNews
0,Sun Dec 10 00:04:39 +0000 2017,0,1,0,56,@CBSNews
0.3085,Sun Dec 10 00:04:19 +0000 2017,0.072,0.794,0.134,57,@CBSNews
0,Sun Dec 10 00:04:14 +0000 2017,0,1,0,58,@CBSNews
-0.8271,Sun Dec 10 00:04:13 +0000 2017,0.304,0.646,0.049,59,@CBSNews
0.5423,Sun Dec 10 00:04:12 +0000 2017,0,0.816,0.184,60,@CBSNews
0.4019,Sun Dec 10 00:04:06 +0000 2017,0,0.838,0.162,61,@CBSNews
0,Sun Dec 10 00:04:02 +0000 2017,0,1,0,62,@CBSNews
-0.4767,Sun Dec 10 00:03:59 +0000 2017,0.171,0.829,0,63,@CBSNews
0,Sun Dec 10 00:03:53 +0000 2017,0,1,0,64,@CBSNews
0.128,Sun Dec 10 00:03:49 +0000 2017,0.107,0.761,0.132,65,@CBSNews
-0.5719,Sun Dec 10 00:03:46 +0000 2017,0.27,0.73,0,66,@CBSNews
0,Sun Dec 10 00:03:43 +0000 2017,0,1,0,67,@CBSNews
0,Sun Dec 10 00:03:43 +0000 2017,0,1,0,68,@CBSNews
0,Sun Dec 10 00:03:40 +0000 2017,0,1,0,69,@CBSNews
-0.4767,Sun Dec 10 00:03:26 +0000 2017,0.147,0.853,0,70,@CBSNews
0,Sun Dec 10 00:03:24 +0000 2017,0,1,0,71,@CBSNews
0,Sun Dec 10 00:03:23 +0000 2017,0,1,0,72,@CBSNews
0,Sun Dec 10 00:03:22 +0000 2017,0,1,0,73,@CBSNews
0,Sun Dec 10 00:03:18 +0000 2017,0,1,0,74,@CBSNews
-0.1007,Sun Dec 10 00:03:14 +0000 2017,0.268,0.491,0.241,75,@CBSNews
0.128,Sun Dec 10 00:03:13 +0000 2017,0.107,0.761,0.132,76,@CBSNews
-0.296,Sun Dec 10 00:03:12 +0000 2017,0.368,0.377,0.255,77,@CBSNews
0,Sun Dec 10 00:03:10 +0000 2017,0,1,0,78,@CBSNews
0.926,Sun Dec 10 00:03:07 +0000 2017,0,0.542,0.458,79,@CBSNews
0,Sun Dec 10 00:03:06 +0000 2017,0,1,0,80,@CBSNews
0.4019,Sun Dec 10 00:03:05 +0000 2017,0,0.886,0.114,81,@CBSNews
-0.2732,Sun Dec 10 00:03:01 +0000 2017,0.344,0.656,0,82,@CBSNews
-0.5267,Sun Dec 10 00:02:49 +0000 2017,0.167,0.833,0,83,@CBSNews
-0.452,Sun Dec 10 00:02:45 +0000 2017,0.234,0.645,0.121,84,@CBSNews
-0.5897,Sun Dec 10 00:02:44 +0000 2017,0.18,0.82,0,85,@CBSNews
0.3818,Sun Dec 10 00:02:33 +0000 2017,0,0.795,0.205,86,@CBSNews
